IRONSTL production by tech,,,,,,,,,,,,,,,,,,,,
"0_1p5C,date=2021-20-10T07:49:36-07:68",Central Asia,iron and steel,EAF with DRI,iron and steel,EAF with DRI,0.203,0.57,1.2742,0.846,0.897268,0.11586666,0.06168302,0.09644005,0.14269692,0.10241915,0.006168148,0,0,0,Mt
"0_1p5C,date=2021-20-10T07:49:36-07:69",Central Asia,iron and steel,EAF with DRI,iron and steel,EAF with DRI CCS,0,0,0,0,0,0.0264969,0.03146811,0.09918869,0.27310002,0.51113524,0.599878,0,0,0,Mt
"0_1p5C,date=2021-20-10T07:49:36-07:70",Central Asia,iron and steel,EAF with DRI,iron and steel,Hydrogen-based DRI,0,0,0,0,0,0.483983,0.900478,2.224213,4.7581836,8.309557,10.752587,0,0,0,Mt
"0_1p5C,date=2021-20-10T07:49:36-07:71",Central Asia,iron and steel,EAF with scrap,iron and steel,EAF with scrap,0.0642,0.1802,0.4018,0.2668,0.361306,0.1876382,0.2585138,0.4254824,0.7759507,1.1565256,1.1607678,0,0,0,Mt
"0_1p5C,date=2021-20-10T07:49:36-07:72",China,iron and steel,BLASTFUR,iron and steel,BLASTFUR,98.9,314,572,756,955.19,751.263,448.2466,173.9819,60.036286,12.2697236,0.033397368,0,0,0,Mt
"0_1p5C,date=2021-20-10T07:49:36-07:73",China,iron and steel,BLASTFUR,iron and steel,BLASTFUR CCS,0,0,0,0,0,21.4311,117.8818,209.3086,169.89472,109.9053,51.33344,0,0,0,Mt
"0_1p5C,date=2021-20-10T07:49:36-07:74",China,iron and steel,BLASTFUR,iron and steel,BLASTFUR with hydrogen,0,0,0,0,0,2.62618,11.43514,16.24633,11.764225,5.717779,0.2090124,0,0,0,Mt
"0_1p5C,date=2021-20-10T07:49:36-07:75",China,iron and steel,BLASTFUR,iron and steel,Biomass-based,0,0,0,0,0.448816,19.529829,41.89608,38.4316871,22.860829,8.5304415,0.259620909,0,0,0,Mt
"0_1p5C,date=2021-20-10T07:49:36-07:76",China,iron and steel,EAF with DRI,iron and steel,EAF with DRI,0.922,2.09,3.32,2.37,12.749044,11.268096,10.1287207,5.800155,3.275106,0.6286957,0.01169896,0,0,0,Mt
"0_1p5C,date=2021-20-10T07:49:36-07:77",China,iron and steel,EAF with DRI,iron and steel,EAF with DRI CCS,0,0,0,0,0,2.8635,8.469,12.141335,16.306391,17.814059,12.111626,0,0,0,Mt
"0_1p5C,date=2021-20-10T07:49:36-07:78",China,iron and steel,EAF with DRI,iron and steel,Hydrogen-based DRI,0,0,0,0,0,12.687,53.29626,94.09808,123.2796,141.39956,149.60003,0,0,0,Mt
