"","Mitigation measure","region","reduction","year"
"433","1p5 emissions","Japan",4.76743722199565,"2050"
"434","Ref emissions","South Korea",77.187797054148,"2050"
"435","Energy efficiency contribution","South Korea",8.85643135400588,"2050"
"436","Material efficiency contribution","South Korea",21.6454465651576,"2050"
"437","Price-induced contribution","South Korea",4.44863785146868,"2050"
"438","High scrap use contribution","South Korea",28.2049635394424,"2050"
"439","H2 contribution","South Korea",7.15618511634297,"2050"
"440","CCUS contribution","South Korea",3.75091566666667,"2050"
"441","1p5 emissions","South Korea",1.22095274727134,"2050"
"442","Ref emissions","Global",3669.26238260738,"2050"
"443","Energy efficiency contribution","Global",359.736993892181,"2050"
"444","Material efficiency contribution","Global",646.284009645622,"2050"
"445","Price-induced contribution","Global",232.10822718087,"2050"
"446","High scrap use contribution","Global",927.347606811205,"2050"
"447","H2 contribution","Global",507.798276422196,"2050"
"448","CCUS contribution","Global",441.178320247383,"2050"
"449","1p5 emissions","Global",123.54886645462,"2050"
