"","region","scenario","sector","subsector","output","technology","Units","year","share"
"249","Europe","1p5","iron and steel","BLASTFUR","iron and steel","BF-CCUS","Mt",2030,6.01877991113059
"250","Europe","1p5 delay","iron and steel","BLASTFUR","iron and steel","BF-CCUS","Mt",2030,0
"251","Europe","1p5","iron and steel","BLASTFUR","iron and steel","BF-H2","Mt",2030,0.221068483678548
"252","Europe","1p5 delay","iron and steel","BLASTFUR","iron and steel","BF-H2","Mt",2030,0.325160514040978
"253","Europe","Ref","iron and steel","BLASTFUR","iron and steel","BF-H2","Mt",2030,0.143193823078317
"254","Europe","1p5","iron and steel","EAF with DRI","iron and steel","DRI-EAF-Fossil","Mt",2030,16.1386661673978
"255","Europe","1p5 delay","iron and steel","EAF with DRI","iron and steel","DRI-EAF-Fossil","Mt",2030,17.7900749576249
"256","Europe","Ref","iron and steel","EAF with DRI","iron and steel","DRI-EAF-Fossil","Mt",2030,15.9809305309083
"257","Europe","1p5","iron and steel","EAF with DRI","iron and steel","DRI-EAF-CCUS","Mt",2030,3.0998146357472
"258","Europe","1p5 delay","iron and steel","EAF with DRI","iron and steel","DRI-EAF-CCUS","Mt",2030,0
