"","region","scenario","sector","subsector","output","technology","Units","year","value"
"209","Europe","1p5C_no_css_steel_sector","iron and steel","EAF with DRI","iron and steel","DRI-EAF-Fossil","Mt",2030,28.167275
"210","Europe","current_policies","iron and steel","EAF with DRI","iron and steel","DRI-EAF-Fossil","Mt",2030,28.995357
"211","Europe","1p5C_delay_no_css_steel_sector","iron and steel","EAF with scrap","iron and steel","EAF-scrap","Mt",2030,45.89642
"212","Europe","1p5C_no_css_steel_sector","iron and steel","EAF with scrap","iron and steel","EAF-scrap","Mt",2030,64.414803
"213","Europe","current_policies","iron and steel","EAF with scrap","iron and steel","EAF-scrap","Mt",2030,40.262275
"214","Europe","1p5C_delay_no_css_steel_sector","iron and steel","EAF with DRI","iron and steel","DRI-EAF-H2","Mt",2030,3.190342
"215","Europe","1p5C_no_css_steel_sector","iron and steel","EAF with DRI","iron and steel","DRI-EAF-H2","Mt",2030,8.138481
"216","Europe","current_policies","iron and steel","EAF with DRI","iron and steel","DRI-EAF-H2","Mt",2030,0.5700495
"217","Europe","1p5C_delay_no_css_steel_sector","iron and steel","BLASTFUR","iron and steel","BF-biomass","Mt",2035,0.87881817
"218","Europe","1p5C_no_css_steel_sector","iron and steel","BLASTFUR","iron and steel","BF-biomass","Mt",2035,1.378547802
"219","Europe","current_policies","iron and steel","BLASTFUR","iron and steel","BF-biomass","Mt",2035,0.634584572
"220","Europe","1p5C_delay_no_css_steel_sector","iron and steel","BLASTFUR","iron and steel","BF-BOF","Mt",2035,50.029001
"221","Europe","1p5C_no_css_steel_sector","iron and steel","BLASTFUR","iron and steel","BF-BOF","Mt",2035,22.376868
"222","Europe","current_policies","iron and steel","BLASTFUR","iron and steel","BF-BOF","Mt",2035,109.666052
"223","Europe","1p5C_delay_no_css_steel_sector","iron and steel","BLASTFUR","iron and steel","BF-H2","Mt",2035,0.9960608
"224","Europe","1p5C_no_css_steel_sector","iron and steel","BLASTFUR","iron and steel","BF-H2","Mt",2035,0.7930312
"225","Europe","current_policies","iron and steel","BLASTFUR","iron and steel","BF-H2","Mt",2035,0.7299305
"226","Europe","1p5C_delay_no_css_steel_sector","iron and steel","EAF with DRI","iron and steel","DRI-EAF-Fossil","Mt",2035,26.3342948
"227","Europe","1p5C_no_css_steel_sector","iron and steel","EAF with DRI","iron and steel","DRI-EAF-Fossil","Mt",2035,24.963445
"228","Europe","current_policies","iron and steel","EAF with DRI","iron and steel","DRI-EAF-Fossil","Mt",2035,27.8412106
"229","Europe","1p5C_delay_no_css_steel_sector","iron and steel","EAF with scrap","iron and steel","EAF-scrap","Mt",2035,57.7062499
"230","Europe","1p5C_no_css_steel_sector","iron and steel","EAF with scrap","iron and steel","EAF-scrap","Mt",2035,78.3124774
"231","Europe","current_policies","iron and steel","EAF with scrap","iron and steel","EAF-scrap","Mt",2035,40.5171382
"232","Europe","1p5C_delay_no_css_steel_sector","iron and steel","EAF with DRI","iron and steel","DRI-EAF-H2","Mt",2035,7.60661
"233","Europe","1p5C_no_css_steel_sector","iron and steel","EAF with DRI","iron and steel","DRI-EAF-H2","Mt",2035,14.156584
"234","Europe","current_policies","iron and steel","EAF with DRI","iron and steel","DRI-EAF-H2","Mt",2035,0.67445316
"235","Europe","1p5C_delay_no_css_steel_sector","iron and steel","BLASTFUR","iron and steel","BF-biomass","Mt",2040,0.88341862
