elec gen by gen tech
scenario,region,subsector,output,technology,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2065,2080,2095,Units,
"current_policies,date=2021-21-10T15:24:23-07:00",Argentina,wind,electricity,wind_storage,0.0,0.0,0.0,0.0,6.79876E-6,4.7416959999999994E-5,1.6202095999999998E-4,3.8143596E-4,7.0486196E-4,0.0011041399600000001,0.0015723572,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T15:24:23-07:00",Australia_NZ,biomass,electricity,biomass (IGCC),0.0,0.0,0.0,0.0,0.0,3.83533E-4,9.95262E-4,0.00185585,0.0029398,0.00449506,0.0057691,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T15:24:23-07:00",Australia_NZ,biomass,electricity,biomass (conv),0.0,0.00187919,6.55188E-4,0.00136075,0.00207822,0.00324596,0.00509622,0.00745055,0.00987606,0.0127227,0.0141599,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T15:24:23-07:00",Australia_NZ,coal,electricity,coal (IGCC),0.0,0.0,0.0,0.0,0.0,0.025447,0.0534497,0.082003,0.110487,0.144997,0.171197,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T15:24:23-07:00",Australia_NZ,coal,electricity,coal (conv pul),0.439003,0.672506,0.653751,0.575343,0.63216,0.689591,0.733799,0.759072,0.766524,0.775728,0.762992,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T15:24:23-07:00",Australia_NZ,gas,electricity,gas (CC),0.0392081,0.0563008,0.0392846,0.019736,0.0296914,0.0509217,0.085966,0.130525,0.177862,0.242735,0.292898,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T15:24:23-07:00",Australia_NZ,gas,electricity,gas (steam/CT),0.0329217,0.0523683,0.140118,0.176105,0.162587,0.169288,0.174114,0.166147,0.147532,0.133328,0.118702,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T15:24:23-07:00",Australia_NZ,geothermal,electricity,geothermal,0.00746642,0.0111492,0.0209732,0.0280251,0.0364489,0.0499723,0.0666838,0.0845448,0.102548,0.0998941,0.111076,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T15:24:23-07:00",Australia_NZ,hydro,electricity,hydro,0.134392,0.139082,0.137653,0.1363,0.142893,0.149486,0.156079,0.162672,0.169265,0.175858,0.182451,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T15:24:23-07:00",Australia_NZ,refined liquids,electricity,refined liquids (CC),0.0,0.0,0.0,0.0,0.0012745,0.00277635,0.00486589,0.0072605,0.00959985,0.0130713,0.0131249,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T15:24:23-07:00",Australia_NZ,refined liquids,electricity,refined liquids (steam/CT),0.0128232,0.010242,0.0209228,0.0240184,0.0132515,0.0127392,0.011743,0.0107867,0.00955221,0.00774365,0.00644004,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T15:24:23-07:00",Australia_NZ,rooftop_pv,elect_td_bld,rooftop_pv,0.0,0.0,0.0,0.0,0.00416265,0.0189959,0.0329092,0.045244,0.058044,0.0768705,0.0911026,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T15:24:23-07:00",Australia_NZ,solar,electricity,CSP,0.0,3.59999E-6,1.07998E-5,1.43995E-5,1.43995E-5,1.43995E-5,1.43995E-5,1.43995E-5,1.43995E-5,0.0,0.0,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T15:24:23-07:00",Australia_NZ,solar,electricity,CSP_storage,0.0,0.0,0.0,0.0,3.97617E-6,2.38182E-5,9.61991E-5,3.13934E-4,8.35316E-4,0.00190059,0.00320962,0.0,0.0,0.0,EJ,
