"","region","scenario","sector","subsector","input","technology","Units","year","value"
"209","China","1p5","iron and steel","BLASTFUR","refined liquids","BLASTFUR","EJ",2030,0.004873281
"210","China","Ref","iron and steel","BLASTFUR","refined liquids","BLASTFUR","EJ",2030,0.01016172
"211","China","1p5 delay","iron and steel","BLASTFUR","gas","BLASTFUR","EJ",2030,0.02711912
"212","China","1p5","iron and steel","BLASTFUR","gas","BLASTFUR","EJ",2030,0.01708014
"213","China","Ref","iron and steel","BLASTFUR","gas","BLASTFUR","EJ",2030,0.03561531
"214","China","1p5 delay","iron and steel","BLASTFUR","coal","BLASTFUR with hydrogen","EJ",2030,0.1360581
"215","China","1p5","iron and steel","BLASTFUR","coal","BLASTFUR with hydrogen","EJ",2030,0.182216
"216","China","Ref","iron and steel","BLASTFUR","coal","BLASTFUR with hydrogen","EJ",2030,0.0707699
"217","China","1p5 delay","iron and steel","BLASTFUR","electricity","BLASTFUR with hydrogen","EJ",2030,0.005461103
"218","China","1p5","iron and steel","BLASTFUR","electricity","BLASTFUR with hydrogen","EJ",2030,0.00731376
"219","China","Ref","iron and steel","BLASTFUR","electricity","BLASTFUR with hydrogen","EJ",2030,0.002840559
"220","China","1p5 delay","iron and steel","BLASTFUR","hydrogen","BLASTFUR with hydrogen","EJ",2030,0.03286329
"221","China","1p5","iron and steel","BLASTFUR","hydrogen","BLASTFUR with hydrogen","EJ",2030,0.04401196
"222","China","Ref","iron and steel","BLASTFUR","hydrogen","BLASTFUR with hydrogen","EJ",2030,0.01709355
"223","China","1p5 delay","iron and steel","BLASTFUR","refined liquids","BLASTFUR with hydrogen","EJ",2030,0.0000996188
"224","China","1p5","iron and steel","BLASTFUR","refined liquids","BLASTFUR with hydrogen","EJ",2030,0.000133414
"225","China","Ref","iron and steel","BLASTFUR","refined liquids","BLASTFUR with hydrogen","EJ",2030,0.00005181606
"226","China","1p5 delay","iron and steel","BLASTFUR","gas","BLASTFUR with hydrogen","EJ",2030,0.0000996188
"227","China","1p5","iron and steel","BLASTFUR","gas","BLASTFUR with hydrogen","EJ",2030,0.000133414
"228","China","Ref","iron and steel","BLASTFUR","gas","BLASTFUR with hydrogen","EJ",2030,0.00005181606
"229","China","1p5 delay","iron and steel","EAF with DRI","coal","EAF with DRI","EJ",2030,0.050376203
"230","China","1p5","iron and steel","EAF with DRI","coal","EAF with DRI","EJ",2030,0.051446303
"231","China","Ref","iron and steel","EAF with DRI","coal","EAF with DRI","EJ",2030,0.003758304
"232","China","1p5 delay","iron and steel","EAF with DRI","electricity","EAF with DRI","EJ",2030,0.089031275
"233","China","1p5","iron and steel","EAF with DRI","electricity","EAF with DRI","EJ",2030,0.090922544
"234","China","Ref","iron and steel","EAF with DRI","electricity","EAF with DRI","EJ",2030,0.006642164
"235","China","1p5 delay","iron and steel","EAF with DRI","refined liquids","EAF with DRI","EJ",2030,0.044957527
"236","China","1p5","iron and steel","EAF with DRI","refined liquids","EAF with DRI","EJ",2030,0.045912501
"237","China","Ref","iron and steel","EAF with DRI","refined liquids","EAF with DRI","EJ",2030,0.003354038
"238","China","1p5 delay","iron and steel","EAF with DRI","gas","EAF with DRI","EJ",2030,0.8923008
"239","China","1p5","iron and steel","EAF with DRI","gas","EAF with DRI","EJ",2030,0.91125516
