"","region","scenario","sector","Units","year","emission","value","year "
"318","US","Ref","iron and steel","MTCO2",2035,"value",82.6740876507636,"2035"
"319","US","1p5 delay","iron and steel","MTCO2",2040,"value",17.6675057891381,"2040"
"320","US","1p5","iron and steel","MTCO2",2040,"value",5.81087174268429,"2040"
"321","US","Ref","iron and steel","MTCO2",2040,"value",82.8231844963079,"2040"
"322","US","1p5 delay","iron and steel","MTCO2",2045,"value",4.85385615045365,"2045"
"323","US","1p5","iron and steel","MTCO2",2045,"value",0.817500144324965,"2045"
"324","US","Ref","iron and steel","MTCO2",2045,"value",82.4128172066803,"2045"
"325","US","1p5 delay","iron and steel","MTCO2",2050,"value",0.274570364934523,"2050"
"326","US","1p5","iron and steel","MTCO2",2050,"value",0.273378675738283,"2050"
"327","US","Ref","iron and steel","MTCO2",2050,"value",81.692143070402,"2050"
"328","US","1p5 delay","iron and steel","MTCO2",2065,"value",0,"2065"
"329","US","1p5","iron and steel","MTCO2",2065,"value",0,"2065"
"330","US","Ref","iron and steel","MTCO2",2065,"value",0,"2065"
"331","US","1p5 delay","iron and steel","MTCO2",2080,"value",0,"2080"
"332","US","1p5","iron and steel","MTCO2",2080,"value",0,"2080"
"333","US","Ref","iron and steel","MTCO2",2080,"value",0,"2080"
"334","US","1p5 delay","iron and steel","MTCO2",2095,"value",0,"2095"
"335","US","1p5","iron and steel","MTCO2",2095,"value",0,"2095"
"336","US","Ref","iron and steel","MTCO2",2095,"value",0,"2095"
"337","China","1p5 delay","iron and steel","MTCO2",1990,"total_indirect",62.9073437793836,"1990"
"338","China","1p5","iron and steel","MTCO2",1990,"total_indirect",62.9073437793836,"1990"
"339","China","Ref","iron and steel","MTCO2",1990,"total_indirect",62.9073437793836,"1990"
"340","China","1p5 delay","iron and steel","MTCO2",2005,"total_indirect",291.55346542972,"2005"
"341","China","1p5","iron and steel","MTCO2",2005,"total_indirect",291.55346542972,"2005"
