industry final energy by tech and fuel
scenario,region,sector,subsector,input,technology,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2065,2080,2095,Units,
"current_policies,date=2021-12-10T11:26:06-07:00",Africa_Northern,iron and steel,BLASTFUR,delivered biomass,Biomass-based,0.0,0.0,0.0,0.0,1.27743E-7,1.319889E-6,3.4776831000000003E-6,5.953648E-6,7.766504E-6,9.010180999999999E-6,9.571089E-6,0.0,0.0,0.0,EJ,
"current_policies,date=2021-12-10T11:26:06-07:00",Africa_Northern,iron and steel,BLASTFUR,delivered coal,BLASTFUR with hydrogen,0.0,0.0,0.0,0.0,1.41857E-7,1.5187530000000002E-6,4.0704173000000005E-6,7.214550099999999E-6,1.0147048000000001E-5,1.3184789E-5,1.5868745E-5,0.0,0.0,0.0,EJ,
"current_policies,date=2021-12-10T11:26:06-07:00",Africa_Northern,iron and steel,BLASTFUR,elect_td_ind,BLASTFUR,8.19518E-4,4.84215E-4,3.36869E-4,2.01726E-4,2.3745340000000002E-4,2.8708559999999995E-4,3.224057E-4,3.4554809999999997E-4,3.6082240000000004E-4,3.664086E-4,3.667386E-4,0.0,0.0,0.0,EJ,
"current_policies,date=2021-12-10T11:26:06-07:00",Africa_Northern,iron and steel,BLASTFUR,elect_td_ind,BLASTFUR CCS,0.0,0.0,0.0,0.0,6.26489E-7,6.914061E-6,1.8676834E-5,3.3145618000000006E-5,4.656096E-5,6.056926E-5,7.268509E-5,0.0,0.0,0.0,EJ,
"current_policies,date=2021-12-10T11:26:06-07:00",Africa_Northern,iron and steel,BLASTFUR,elect_td_ind,BLASTFUR with hydrogen,0.0,0.0,0.0,0.0,5.69384E-9,6.095976E-8,1.6337785E-7,2.8957672E-7,4.0728140000000003E-7,5.292106000000001E-7,6.369386E-7,0.0,0.0,0.0,EJ,
"current_policies,date=2021-12-10T11:26:06-07:00",Africa_Northern,iron and steel,BLASTFUR,elect_td_ind,Biomass-based,0.0,0.0,0.0,0.0,4.17386E-9,4.3126E-8,1.1362944E-7,1.94528876E-7,2.53762E-7,2.943979E-7,3.1272549999999995E-7,0.0,0.0,0.0,EJ,
"current_policies,date=2021-12-10T11:26:06-07:00",Africa_Northern,iron and steel,BLASTFUR,refined liquids industrial,BLASTFUR,9.82036E-6,9.09622E-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EJ,
"current_policies,date=2021-12-10T11:26:06-07:00",Africa_Northern,iron and steel,BLASTFUR,refined liquids industrial,BLASTFUR with hydrogen,0.0,0.0,0.0,0.0,1.03864E-10,1.02731E-9,2.928483E-9,5.263434E-9,7.429438E-9,9.653586999999999E-9,1.1618729E-8,0.0,0.0,0.0,EJ,
"current_policies,date=2021-12-10T11:26:06-07:00",Africa_Northern,iron and steel,BLASTFUR,refined liquids industrial,Biomass-based,0.0,0.0,0.0,0.0,0.0,7.24465E-10,2.034726E-9,3.534622E-9,4.6290130000000005E-9,5.370265E-9,5.7045869999999995E-9,0.0,0.0,0.0,EJ,
"current_policies,date=2021-12-10T11:26:06-07:00",Africa_Northern,iron and steel,BLASTFUR,wholesale gas,BLASTFUR,5.58412E-6,2.75002E-6,2.14727E-6,1.59419E-6,1.8765349999999999E-6,2.26877E-6,2.547883E-6,2.730779E-6,2.851492E-6,2.89563E-6,2.8982450000000002E-6,0.0,0.0,0.0,EJ,
"current_policies,date=2021-12-10T11:26:06-07:00",Africa_Northern,iron and steel,BLASTFUR,wholesale gas,BLASTFUR CCS,0.0,0.0,0.0,0.0,4.95097E-9,5.4639989999999995E-8,1.4759839E-7,2.6194058400000003E-7,3.6795920000000003E-7,4.786626E-7,5.744113000000001E-7,0.0,0.0,0.0,EJ,
"current_policies,date=2021-12-10T11:26:06-07:00",Africa_Northern,iron and steel,BLASTFUR,wholesale gas,BLASTFUR with hydrogen,0.0,0.0,0.0,0.0,1.03864E-10,1.02731E-9,2.928483E-9,5.263434E-9,7.429438E-9,9.653586999999999E-9,1.1618729E-8,0.0,0.0,0.0,EJ,
"current_policies,date=2021-12-10T11:26:06-07:00",Africa_Northern,iron and steel,BLASTFUR,wholesale gas,Biomass-based,0.0,0.0,0.0,0.0,0.0,7.24465E-10,2.034726E-9,3.534622E-9,4.6290130000000005E-9,5.370265E-9,5.7045869999999995E-9,0.0,0.0,0.0,EJ,
"current_policies,date=2021-12-10T11:26:06-07:00",Africa_Northern,iron and steel,EAF with DRI,H2 enduse,Hydrogen-based DRI,0.0,0.0,0.0,0.0,7.61448E-5,1.670087E-4,2.42554E-4,3.0240268999999996E-4,3.3540968E-4,3.917839E-4,4.3194269999999996E-4,0.0,0.0,0.0,EJ,
"current_policies,date=2021-12-10T11:26:06-07:00",Africa_Northern,iron and steel,EAF with DRI,elect_td_ind,EAF with DRI,0.00202659,0.00251618,0.00366548,0.00175434,0.002064464,0.002561107,0.0030231290000000003,0.003416981,0.003745371,0.004004959,0.004186517,0.0,0.0,0.0,EJ,
"current_policies,date=2021-12-10T11:26:06-07:00",Africa_Northern,iron and steel,EAF with DRI,elect_td_ind,Hydrogen-based DRI,0.0,0.0,0.0,0.0,2.09051E-6,4.585125E-6,6.659169000000001E-6,8.302271E-6,9.208464E-6,1.0756189E-5,1.1858704E-5,0.0,0.0,0.0,EJ,
"current_policies,date=2021-12-10T11:26:06-07:00",Africa_Northern,iron and steel,EAF with DRI,refined liquids industrial,EAF with DRI,0.00257215,0.00499798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EJ,
"current_policies,date=2021-12-10T11:26:06-07:00",Africa_Northern,iron and steel,EAF with DRI,wholesale gas,EAF with DRI,0.0081572,0.00874612,0.0138534,0.0086214,0.01014547,0.01258608,0.01485664,0.016792151,0.018406,0.019681650000000002,0.02057388,0.0,0.0,0.0,EJ,
"current_policies,date=2021-12-10T11:26:06-07:00",Africa_Northern,iron and steel,EAF with scrap,elect_td_ind,EAF with scrap,7.53873E-4,9.34762E-4,0.00136239,6.50066E-4,7.462850000000001E-4,9.064909999999999E-4,0.0010625510000000001,0.0012021214000000001,0.0013281611,0.0014345753,0.0015056299,0.0,0.0,0.0,EJ,
"current_policies,date=2021-12-10T11:26:06-07:00",Africa_Northern,iron and steel,EAF with scrap,refined liquids industrial,EAF with scrap,1.80749E-4,3.50753E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EJ,
"current_policies,date=2021-12-10T11:26:06-07:00",Africa_Northern,mining energy use,electricity,elect_td_ind,electricity,0.00334881,0.00669763,0.00724186,0.0104232,0.01132724,0.0131614,0.0153925,0.017303573,0.01858552,0.01969079,0.02041946,0.0,0.0,0.0,EJ,
