transport final energy by tech and vintage
scenario,region,sector,subsector,input,technology,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2065,2080,2095,Units,
"0_1p5C,date=2021-20-10T13:28:30-07:00",Africa_Eastern,trn_freight_road,Medium truck,refined liquids enduse,"Liquids,year=2015",0.0,0.0,0.0,0.164011,0.118764,0.0820057,0.0452472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-20-10T13:28:30-07:00",Africa_Eastern,trn_freight_road,Medium truck,refined liquids enduse,"Liquids,year=2020",0.0,0.0,0.0,0.0,0.064542,0.0467363,0.032271,0.0178057,0.0,0.0,0.0,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-20-10T13:28:30-07:00",Africa_Eastern,trn_freight_road,Medium truck,refined liquids enduse,"Liquids,year=2025",0.0,0.0,0.0,0.0,0.0,0.0675673,0.0489269,0.0337836,0.0186403,0.0,0.0,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-20-10T13:28:30-07:00",Africa_Eastern,trn_freight_road,Medium truck,refined liquids enduse,"Liquids,year=2030",0.0,0.0,0.0,0.0,0.0,0.0,0.0833661,0.0603672,0.0416831,0.0229989,0.0,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-20-10T13:28:30-07:00",Africa_Eastern,trn_freight_road,Medium truck,refined liquids enduse,"Liquids,year=2035",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0927236,0.0671432,0.0463618,0.0255804,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-20-10T13:28:30-07:00",Africa_Eastern,trn_freight_road,Medium truck,refined liquids enduse,"Liquids,year=2040",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0631435,0.0457236,0.0315717,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-20-10T13:28:30-07:00",Africa_Eastern,trn_freight_road,Medium truck,refined liquids enduse,"Liquids,year=2045",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0183711,0.0133029,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-20-10T13:28:30-07:00",Africa_Eastern,trn_freight_road,Medium truck,refined liquids enduse,"Liquids,year=2050",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.75714E-4,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-20-10T13:28:30-07:00",Africa_Eastern,trn_pass,Domestic Aviation,refined liquids enduse,"Liquids,year=1975",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-20-10T13:28:30-07:00",Africa_Eastern,trn_pass,Domestic Aviation,refined liquids enduse,"Liquids,year=1990",0.0150561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-20-10T13:28:30-07:00",Africa_Eastern,trn_pass,Domestic Aviation,refined liquids enduse,"Liquids,year=2005",0.0,0.0280669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-20-10T13:28:30-07:00",Africa_Eastern,trn_pass,Domestic Aviation,refined liquids enduse,"Liquids,year=2010",0.0,0.0,0.0349463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EJ,
