"","region","year","scenario","input","value","share"
"309","EU-27",2035,"1p5 delay","gas with CCS",12.8643938470624,2.66605021458286
"310","EU-27",2035,"1p5 delay","hydrogen",21.5104509027914,4.45788141493014
"311","EU-27",2035,"1p5 delay","refined liquids",13.7193842095486,2.84324062607614
"312","EU-27",2035,"1p5 delay","refined liquids with CCS",1.51921267092472,0.314845558637863
"313","EU-27",2040,"Ref","biomass",3.641677635562,0.525425656128768
"314","EU-27",2040,"Ref","coal",456.007018138656,65.7932444006265
"315","EU-27",2040,"Ref","electricity",123.359142853902,17.7984064104266
"316","EU-27",2040,"Ref","gas",91.4176233393735,13.189845321773
"317","EU-27",2040,"Ref","hydrogen",3.9263567799718,0.56649950758037
"318","EU-27",2040,"Ref","refined liquids",14.7391243924568,2.12657870346478
"319","EU-27",2040,"1p5","biomass",0.7788200397222,0.206081675966267
"320","EU-27",2040,"1p5","coal",22.583311538857,5.97571512471102
"321","EU-27",2040,"1p5","coal with CCS",108.87295654274,28.8086081602798
"322","EU-27",2040,"1p5","electricity",122.204327577551,32.336189816707
"323","EU-27",2040,"1p5","gas",28.6358054440705,7.57725081221967
"324","EU-27",2040,"1p5","gas with CCS",44.1288236863641,11.6768206772769
"325","EU-27",2040,"1p5","hydrogen",36.1498703309842,9.56552924142755
"326","EU-27",2040,"1p5","refined liquids",9.41121945529454,2.4902798840734
"327","EU-27",2040,"1p5","refined liquids with CCS",5.15300685454107,1.3635246073384
"328","EU-27",2040,"1p5 delay","biomass",1.06149946031,0.254781117938704
"329","EU-27",2040,"1p5 delay","coal",105.060724881846,25.216676915719
"330","EU-27",2040,"1p5 delay","coal with CCS",68.60741877478,16.4671537837829
"331","EU-27",2040,"1p5 delay","electricity",116.053374531514,27.8551328656006
"332","EU-27",2040,"1p5 delay","gas",57.1814619380218,13.7246954357226
"333","EU-27",2040,"1p5 delay","gas with CCS",26.4799468228294,6.35571727234571
"334","EU-27",2040,"1p5 delay","hydrogen",27.2006632327354,6.52870363691625
"335","EU-27",2040,"1p5 delay","refined liquids",11.9159538680332,2.86006744357356
"336","EU-27",2040,"1p5 delay","refined liquids with CCS",3.07087525142046,0.737071528400694
"337","EU-27",2045,"Ref","biomass",4.150825820658,0.610907489511063
"338","EU-27",2045,"Ref","coal",445.6711620922,65.5926946937185
"339","EU-27",2045,"Ref","electricity",121.708869508684,17.9127872706047
"340","EU-27",2045,"Ref","gas",88.858233871808,13.0779182077093
"341","EU-27",2045,"Ref","hydrogen",4.582669638355,0.674465112482659
"342","EU-27",2045,"Ref","refined liquids",14.4806753086976,2.13122722597379
"343","EU-27",2045,"1p5","biomass",0.016744812284728,0.0054776014011352
"344","EU-27",2045,"1p5","coal",0.522634707551876,0.170965464269733
"345","EU-27",2045,"1p5","coal with CCS",73.410524283928,24.0142190810021
"346","EU-27",2045,"1p5","electricity",116.020016563461,37.9527339262775
"347","EU-27",2045,"1p5","gas",2.07014223492135,0.677189676046497
"348","EU-27",2045,"1p5","gas with CCS",53.8401892248947,17.6123261892069
"349","EU-27",2045,"1p5","hydrogen",47.2589133512671,15.4594441303546
"350","EU-27",2045,"1p5","refined liquids",6.07001344077659,1.98563671916657
"351","EU-27",2045,"1p5","refined liquids with CCS",6.4868926806211,2.122007212275
"352","EU-27",2045,"1p5 delay","biomass",0.191067940909786,0.0616604470705849
"353","EU-27",2045,"1p5 delay","coal",7.628953186491,2.46197589150606
"354","EU-27",2045,"1p5 delay","coal with CCS",59.529585956964,19.2110767853322
"355","EU-27",2045,"1p5 delay","electricity",117.55399292998,37.9364100773837
"356","EU-27",2045,"1p5 delay","gas",13.6451201296088,4.40348183749344
"357","EU-27",2045,"1p5 delay","gas with CCS",52.5874214699035,16.9707377526747
"358","EU-27",2045,"1p5 delay","hydrogen",44.9862205231143,14.5177179188886
"359","EU-27",2045,"1p5 delay","refined liquids",7.63150218413492,2.46279849070066
"360","EU-27",2045,"1p5 delay","refined liquids with CCS",6.11729293966377,1.97414079895013
"361","EU-27",2050,"Ref","biomass",4.361815433894,0.659646091037148
"362","EU-27",2050,"Ref","coal",433.30396469845,65.5294271103671
"363","EU-27",2050,"Ref","electricity",119.041110066145,18.0028256853025
"364","EU-27",2050,"Ref","gas",85.3917540686264,12.9139661298983
"365","EU-27",2050,"Ref","hydrogen",5.0348938612452,0.761437090746477
"366","EU-27",2050,"Ref","refined liquids",14.1021597950521,2.13269789264849
"367","EU-27",2050,"1p5","biomass",0.00001440642541402,0.00000557007058854735
"368","EU-27",2050,"1p5","coal",0.00339581162359157,0.00131294959750439
"369","EU-27",2050,"1p5","coal with CCS",34.729557505846,13.4277644354664
"370","EU-27",2050,"1p5","electricity",107.276569820994,41.4771915466731
"371","EU-27",2050,"1p5","gas",0.0188463483392888,0.0072867132247831
"372","EU-27",2050,"1p5","gas with CCS",45.336937514521,17.5289799493694
"373","EU-27",2050,"1p5","hydrogen",60.1952243718882,23.2737573137723
"374","EU-27",2050,"1p5","refined liquids",5.28450615295376,2.0431905522462
"375","EU-27",2050,"1p5","refined liquids with CCS",5.79485549768625,2.24051096957973
"376","EU-27",2050,"1p5 delay","biomass",0.00001316858136819,0.00000516904422342991
"377","EU-27",2050,"1p5 delay","coal",0.0020377849243933,0.000799888772944989
"378","EU-27",2050,"1p5 delay","coal with CCS",32.643886948422,12.8136577922237
"379","EU-27",2050,"1p5 delay","electricity",106.362392735256,41.7502763878905
"380","EU-27",2050,"1p5 delay","gas",0.0106371305424754,0.00417537748730255
"381","EU-27",2050,"1p5 delay","gas with CCS",42.8956310467552,16.8377600952688
"382","EU-27",2050,"1p5 delay","hydrogen",62.1357668961571,24.3900628293049
"383","EU-27",2050,"1p5 delay","refined liquids",5.23064247365646,2.05317653491458
"384","EU-27",2050,"1p5 delay","refined liquids with CCS",5.47752741693509,2.150085925093
"385","Global",2015,"Ref","biomass",0,0
"386","Global",2015,"Ref","coal",7447.76879382138,79.7421862020136
"387","Global",2015,"Ref","electricity",1132.80405790919,12.128769651272
"388","Global",2015,"Ref","gas",643.394714629249,6.88873440565446
"389","Global",2015,"Ref","gas with CCS",0,0
"390","Global",2015,"Ref","hydrogen",0,0
"391","Global",2015,"Ref","refined liquids",115.842574979541,1.24030974106
"392","Global",2015,"1p5","biomass",0,0
"393","Global",2015,"1p5","coal",7447.76876604358,79.7421861417642
"394","Global",2015,"1p5","coal with CCS",0,0
"395","Global",2015,"1p5","electricity",1132.80405790919,12.1287696873445
"396","Global",2015,"1p5","gas",643.394714629249,6.88873442614245
"397","Global",2015,"1p5","gas with CCS",0,0
"398","Global",2015,"1p5","hydrogen",0,0
"399","Global",2015,"1p5","refined liquids",115.842574979541,1.24030974474884
"400","Global",2015,"1p5","refined liquids with CCS",0,0
"401","Global",2015,"1p5 delay","biomass",0,0
