hydrogen production by tech
"current_policies,date=2021-21-10T09:40:21-07:00",Colombia,H2 central production,biomass,biomass to H2,0.0,0.0,2.17942E-6,2.30599E-5,7.61908E-5,1.61588E-4,2.55529E-4,3.4396E-4,4.36714E-4,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T09:40:21-07:00",Colombia,H2 central production,coal,coal chemical,0.0,0.0,1.3299E-5,1.37806E-4,4.32764E-4,9.0253E-4,0.00148347,0.00209481,0.00279311,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T09:40:21-07:00",Colombia,H2 central production,electricity,electrolysis,0.0,0.0,6.87031E-8,8.06971E-7,3.00743E-6,6.93906E-6,1.21033E-5,1.87848E-5,2.70403E-5,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T09:40:21-07:00",Colombia,H2 central production,gas,natural gas steam reforming,0.0,0.0,1.96313E-5,1.93747E-4,6.38813E-4,0.00127234,0.00190766,0.00263977,0.00327918,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T09:40:21-07:00",Colombia,H2 central production,nuclear,thermal splitting,0.0,0.0,2.15553E-6,2.212E-5,6.91901E-5,1.39222E-4,2.17871E-4,2.93234E-4,3.6938E-4,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T09:40:21-07:00",Colombia,H2 central production,solar,electrolysis,0.0,0.0,2.06466E-6,2.12696E-5,6.68179E-5,1.35083E-4,2.1246E-4,2.87525E-4,3.64289E-4,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T09:40:21-07:00",Colombia,H2 central production,wind,electrolysis,0.0,0.0,1.94519E-6,1.82005E-5,5.35173E-5,1.02582E-4,1.54418E-4,2.01739E-4,2.48881E-4,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T09:40:21-07:00",Colombia,H2 forecourt production,electricity,electrolysis,0.0,0.0,1.68808E-6,1.79503E-5,6.08537E-5,1.28111E-4,2.05233E-4,2.93731E-4,3.86673E-4,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T09:40:21-07:00",Colombia,H2 forecourt production,gas,natural gas steam reforming,0.0,0.0,1.85112E-5,1.92724E-4,6.45012E-4,0.00135604,0.0021665,0.00310559,0.00407367,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T09:40:21-07:00",EU-12,H2 central production,biomass,biomass to H2,0.0,0.0,7.01885E-5,2.93022E-4,6.58868E-4,0.00144092,0.00241466,0.00308611,0.00368972,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T09:40:21-07:00",EU-12,H2 central production,coal,coal chemical,0.0,0.0,4.7364E-4,0.00198473,0.00426642,0.00916057,0.0159771,0.0217423,0.0278311,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T09:40:21-07:00",EU-12,H2 central production,electricity,electrolysis,0.0,0.0,1.97062E-6,8.65385E-6,2.08968E-5,4.92121E-5,9.14446E-5,1.35281E-4,1.81399E-4,0.0,0.0,0.0,EJ,
