IRONSTL production by tech
"0_1p5C,date=2021-21-10T04:35:21-07:00",China,iron and steel,BLASTFUR,iron and steel,BLASTFUR with hydrogen,0.0,0.0,0.0,0.0,0.0,2.56869,10.62196,14.06714,9.780714999999999,2.0099457999999997,0.019527509,0.0,0.0,0.0,Mt,
"0_1p5C,date=2021-21-10T04:35:21-07:00",China,iron and steel,BLASTFUR,iron and steel,Biomass-based,0.0,0.0,0.0,0.0,0.448877,17.756176999999997,33.973384,29.4760041,16.867178,3.3025623699999995,0.019787127,0.0,0.0,0.0,Mt,
"0_1p5C,date=2021-21-10T04:35:21-07:00",China,iron and steel,EAF with DRI,iron and steel,EAF with DRI,0.922,2.09,3.32,2.37,12.733357999999999,11.428249000000001,10.167402599999999,5.256548,2.2277702,0.07404442,0.00153853514,0.0,0.0,0.0,Mt,
"0_1p5C,date=2021-21-10T04:35:21-07:00",China,iron and steel,EAF with DRI,iron and steel,EAF with DRI CCS,0.0,0.0,0.0,0.0,0.0,2.9735,9.48168,14.018576,19.170904,17.984225000000002,8.694659,0.0,0.0,0.0,Mt,
"0_1p5C,date=2021-21-10T04:35:21-07:00",China,iron and steel,EAF with DRI,iron and steel,Hydrogen-based DRI,0.0,0.0,0.0,0.0,0.0,12.2682,47.490480000000005,82.20121,111.42801,139.34932,157.68358999999998,0.0,0.0,0.0,Mt,
"0_1p5C,date=2021-21-10T04:35:21-07:00",China,iron and steel,EAF with scrap,iron and steel,EAF with scrap,17.5,39.7,63.0,45.1,70.673,113.56219999999999,198.24529,269.85258,327.7382,368.797,347.8948,0.0,0.0,0.0,Mt,
"0_1p5C,date=2021-21-10T04:35:21-07:00",Colombia,iron and steel,BLASTFUR,iron and steel,BLASTFUR,0.255,0.335,0.34,0.241,0.2638078,0.020198140000000003,0.006122150999999999,7.131582999999999E-4,2.5017149999999998E-5,3.71822066E-7,2.33047E-8,0.0,0.0,0.0,Mt,
"0_1p5C,date=2021-21-10T04:35:21-07:00",Colombia,iron and steel,BLASTFUR,iron and steel,BLASTFUR CCS,0.0,0.0,0.0,0.0,0.0,0.0143813,0.037790000000000004,0.06755596999999999,0.08152042,0.057147180000000006,0.009962269999999999,0.0,0.0,0.0,Mt,
"0_1p5C,date=2021-21-10T04:35:21-07:00",Colombia,iron and steel,BLASTFUR,iron and steel,BLASTFUR with hydrogen,0.0,0.0,0.0,0.0,0.0,0.11649,0.2532187,0.3831122,0.3804938,0.2081249,0.010750629999999999,0.0,0.0,0.0,Mt,
"0_1p5C,date=2021-21-10T04:35:21-07:00",Colombia,iron and steel,BLASTFUR,iron and steel,Biomass-based,0.0,0.0,0.0,0.0,0.00644972,0.77439999,1.00625774,0.86433051,0.507174,0.17425128,0.006606781,0.0,0.0,0.0,Mt,
